#DATE                  obsn   az      el     freq_MHz      Tsys        Tant        vlsr     glat        glon        azoff      eloff      source  Fstart       fstop        spacing      bw        fbw       nfreq   nsam        npoint  integ  sigma     bsw   
 2017:096:20:04:32     31     215     55     1420.4000     171.000     375.575     4.65     -56.016     128.301     -7.00      0.00       Sun     1419.397     1421.403     0.009375     2.400     2.000     256     5242880     214     36     0.294     0     
 2017:096:20:04:42     32     214     54     1420.4000     171.000     360.154     4.65     -56.016     128.301     -8.00      0.00       Sun     1419.397     1421.403     0.009375     2.400     2.000     256     5242880     214     37     0.290     0     
 2017:096:20:04:51     33     213     54     1420.4000     171.000     323.215     4.65     -56.016     128.301     -9.00      0.00       Sun     1419.397     1421.403     0.009375     2.400     2.000     256     5242880     214     38     0.286     0     
 2017:096:20:05:00     34     212     54     1420.4000     171.000     307.906     4.65     -56.016     128.302     -10.00     0.00       Sun     1419.397     1421.403     0.009375     2.400     2.000     256     5242880     214     39     0.282     0     
 2017:096:20:05:10     35     211     54     1420.4000     171.000     294.570     4.65     -56.016     128.302     -11.00     0.00       Sun     1419.397     1421.403     0.009375     2.400     2.000     256     5242880     214     40     0.278     0     
 2017:096:20:05:19     36     210     54     1420.4000     171.000     266.099     4.65     -56.016     128.302     -12.00     0.00       Sun     1419.397     1421.403     0.009375     2.400     2.000     256     5242880     214     42     0.274     0     
 2017:096:20:05:28     37     209     54     1420.4000     171.000     240.097     4.65     -56.016     128.302     -13.00     0.00       Sun     1419.397     1421.403     0.009375     2.400     2.000     256     5242880     214     43     0.271     0     
 2017:096:20:05:30     38     209     54     1420.4000     171.000     239.976     4.65     -56.016     128.302     -14.00     0.00       Sun     1419.397     1421.403     0.009375     2.400     2.000     256     5242880     214     44     0.267     0     
 2017:096:20:05:31     39     209     54     1420.4000     171.000     239.694     4.65     -56.016     128.302     -14.00     0.00       Sun     1419.397     1421.403     0.009375     2.400     2.000     256     5242880     214     45     0.264     0     
 2017:096:20:05:40     40     208     54     1420.4000     171.000     226.325     4.65     -56.016     128.302     -15.00     0.00       Sun     1419.397     1421.403     0.009375     2.400     2.000     256     5242880     214     46     0.261     0     
 2017:096:20:05:50     41     207     54     1420.4000     171.000     218.924     4.65     -56.016     128.302     -16.00     0.00       Sun     1419.397     1421.403     0.009375     2.400     2.000     256     5242880     214     47     0.258     0     
 2017:096:20:05:59     42     206     54     1420.4000     171.000     212.113     4.65     -56.015     128.303     -17.00     0.00       Sun     1419.397     1421.403     0.009375     2.400     2.000     256     5242880     214     48     0.255     0     
 2017:096:20:06:09     43     205     54     1420.4000     171.000     208.402     4.65     -56.015     128.303     -18.00     0.00       Sun     1419.397     1421.403     0.009375     2.400     2.000     256     5242880     214     49     0.252     0     
 2017:096:20:06:18     44     204     54     1420.4000     171.000     206.018     4.65     -56.015     128.303     -19.00     0.00       Sun     1419.397     1421.403     0.009375     2.400     2.000     256     5242880     214     50     0.249     0     
 2017:096:20:06:27     45     203     54     1420.4000     171.000     203.645     4.65     -56.015     128.303     -20.00     0.00       Sun     1419.397     1421.403     0.009375     2.400     2.000     256     5242880     214     51     0.246     0     
 2017:096:20:06:48     46     223     55     1420.4000     171.000     203.645     4.65     -56.015     128.303     0.00       1.00       Sun     1419.397     1421.403     0.009375     2.400     2.000     256     5242880     214     52     0.244     0     
 2017:096:20:06:50     47     223     55     1420.4000     171.000     879.055     4.65     -56.015     128.304     0.00       1.00       Sun     1419.397     1421.403     0.009375     2.400     2.000     256     5242880     214     54     0.241     0     
 2017:096:20:06:59     48     223     56     1420.4000     171.000     705.547     4.65     -56.015     128.304     0.00       2.00       Sun     1419.397     1421.403     0.009375     2.400     2.000     256     5242880     214     55     0.239     0     
 2017:096:20:07:08     49     223     57     1420.4000     171.000     469.763     4.65     -56.015     128.304     0.00       3.00       Sun     1419.397     1421.403     0.009375     2.400     2.000     256     5242880     214     56     0.237     0     
 2017:096:20:07:18     50     223     58     1420.4000     171.000     310.951     4.65     -56.015     128.304     0.00       4.00       Sun     1419.397     1421.403     0.009375     2.400     2.000     256     5242880     214     57     0.234     0     
 2017:096:20:07:27     51     223     59     1420.4000     171.000     252.908     4.65     -56.015     128.304     0.00       5.00       Sun     1419.397     1421.403     0.009375     2.400     2.000     256     5242880     214     58     0.232     0     
