#lon vel Tant_corr
0.0 -168.400470447 -0.005777814760023148
0.0 -166.423338822 0.8304348509923045
0.0 -164.446181116 0.11687390582500257
0.0 -162.468997329 0.18956611863566764
0.0 -160.491787459 -0.3164620566852818
0.0 -158.514551506 0.23581551869239092
0.0 -156.537289471 -0.08057533149792562
0.0 -154.560001351 0.0
0.0 -152.582687147 0.0
0.0 -150.605346858 -0.011504925409440148
0.0 -148.627980484 0.09468245612347914
0.0 -146.650588024 -0.09067419712633296
0.0 -144.673169477 -0.4095509528740422
0.0 -142.695724844 -0.1959241942226413
0.0 -140.718254123 -0.05377061970480668
0.0 -138.740757314 0.4839327566755003
0.0 -136.763234417 -0.25679139459830935
0.0 -134.785685431 0.5970792814015908
0.0 -132.808110355 -0.6824331759939923
0.0 -130.830509189 -0.23630704309132966
0.0 -128.852881933 0.2174790881234685
0.0 -126.875228585 -0.7050536900609075
0.0 -124.897549147 -0.19188460111229233
0.0 -122.919843616 -0.5389931843132274
0.0 -120.942111992 0.24564070521205394
0.0 -118.964354276 -0.5849631035470111
0.0 -116.986570465 -0.6437850975409845
0.0 -115.008760561 -0.20480607968107734
0.0 -113.030924562 0.11799283109752423
0.0 -111.053062468 0.12363019980836043
0.0 -109.075174278 0.3231242753645631
0.0 -107.097259991 -0.01450700946077177
0.0 -105.119319609 0.0
0.0 -103.141353129 -0.6270755100920553
0.0 -101.163360551 -0.16397844142926488
0.0 -99.1853418746 0.23806183571912243
0.0 -97.2072970997 -0.3239383271966574
0.0 -95.2292262255 0.19703710488067827
0.0 -93.2511292514 -0.17699614942321773
0.0 -91.2730061771 0.3839773120437542
0.0 -89.2948570018 0.32197257491606024
0.0 -87.3166817252 0.017004408271816374
0.0 -85.3384803468 0.3630872645886427
0.0 -83.3602528658 -0.2157647202984947
0.0 -81.381999282 -0.04253772723623683
0.0 -79.4037195948 0.588781746202045
0.0 -77.4254138036 -0.0767931143241185
0.0 -75.4470819079 -0.29224943996419483
0.0 -73.4687239072 -0.025574678718555788
0.0 -71.490339801 0.15124340451950502
0.0 -69.5119295888 0.0022167279219047487
0.0 -67.5334932701 0.10635689268397641
0.0 -65.5550308443 -0.3423248170178397
0.0 -63.576542311 0.7121825659330341
0.0 -61.5980276695 0.7158896915500463
0.0 -59.6194869195 1.4268068927034392
0.0 -57.6409200603 0.07994418507635714
0.0 -55.6623270915 0.6773112671245087
0.0 -53.6837080125 1.287917520033261
0.0 -51.7050628228 1.6487720076762855
0.0 -49.726391522 0.9538834765735373
0.0 -47.7476941095 2.2752603558489852
0.0 -45.7689705847 3.1389107571889383
0.0 -43.7902209472 2.6108424748003074
0.0 -41.8114451964 3.600062985368254
0.0 -39.8326433319 4.892579448014573
0.0 -37.8538153531 5.021398704255603
0.0 -35.8749612595 6.232527277960145
0.0 -33.8960810505 7.179971375307787
0.0 -31.9171747257 8.125736884746772
0.0 -29.9382422846 10.491829376952097
0.0 -27.9592837265 12.578254104783497
0.0 -25.9802990511 15.019016003243394
0.0 -24.0012882577 16.427119689435187
0.0 -22.022251346 19.564569462520865
0.0 -20.0431883153 24.34136930367947
0.0 -18.0640991651 30.551522876064922
0.0 -16.084983895 39.660033524763605
0.0 -14.1058425043 48.20590427675333
0.0 -12.1266749927 58.145137840860144
0.0 -10.1474813595 57.410736607717524
0.0 -8.16826160422 47.029702649723475
0.0 -6.18901572646 41.47603772099862
0.0 -4.20974372559 45.04674325734479
0.0 -2.23044560107 46.971820376202515
0.0 -0.251121352518 41.649269876608656
0.0 1.72822902071 34.77909223915543
0.0 3.70760551906 28.02628762594719
0.0 5.68700814311 21.46585588055936
0.0 7.66643689336 16.318796527995715
0.0 9.64589177026 13.261108774646374
0.0 11.6253727744 10.544791508246476
0.0 13.6048799063 9.219843297833336
0.0 15.5844131664 7.255262393704328
0.0 17.5639725553 5.508046727375785
0.0 19.5435580735 5.524193911539925
0.0 21.5231697215 3.6757012400230167
0.0 23.5028074998 3.772565687743537
0.0 25.482471409 2.244783910670492
0.0 27.4621614495 1.3423522457796082
0.0 29.4418776219 1.488266711013722
0.0 31.4216199267 0.975523005238756
0.0 33.4013883643 0.5331165082017435
0.0 35.3811829355 0.010042280491489919
0.0 37.3610036406 0.4022950634915219
0.0 39.34085048 0.13486927934098958
0.0 41.3207234546 0.3477590308955314
0.0 43.3006225645 -0.23004189832323618
0.0 45.2805478106 0.16445995584055595
0.0 47.2604991932 0.7132577381255203
0.0 49.2404767127 0.0
0.0 51.2204803699 -0.29428793129957853
0.0 53.2005101651 -0.700646690973997
0.0 55.180566099 -0.5007401385400669
0.0 57.160648172 0.22842327304363153
0.0 59.1407563846 -0.35816522884675805
0.0 61.1208907374 -0.2445147365425271
0.0 63.1010512308 -0.424634662126806
0.0 65.0812378655 0.7954652625271592
0.0 67.0614506418 -0.2952250142917592
0.0 69.0416895603 -0.3997158641691385
0.0 71.0219546217 -0.40601797860858824
0.0 73.0022458262 -0.8261423690792356
0.0 74.9825631746 -0.13910036704845652
0.0 76.9629066673 -0.24490362403258814
0.0 78.9432763047 -0.26456411163576377
0.0 80.9236720875 0.0
0.0 82.9040940161 -0.18050626579997697
0.0 84.8845420911 -0.2898134763861151
0.0 86.865016313 -0.4280290057242837
