vel Tant_raw Tant_corr
-177.520470447 160.686 0.8190612658492569
-175.543338822 161.237 1.200869048723149
-173.566181116 161.372 1.1724705452531907
-171.588997329 161.213 0.8557706941421372
-169.611787459 160.929 0.4196750960944371
-167.634551506 160.866 0.21009001422271467
-165.657289471 161.507 0.7099223740378307
-163.680001351 166.11 0.0
-161.702687147 165.755 0.0
-159.725346858 161.887 0.6980032937129579
-157.747980484 160.895 -0.4144120763607759
-155.770588024 161.306 -0.11886543974836172
-153.793169477 160.525 -1.010445895222773
-151.815724844 160.582 -1.0592418784986535
-149.838254123 160.948 -0.7943411624176235
-147.860757314 161.227 -0.6118308565870336
-145.883234417 161.313 -0.6177974074060444
-143.905685431 160.881 -1.1373265980204224
-141.928110355 160.93 -1.1715035481828124
-139.950509189 160.899 -1.2814127141258496
-137.972881933 160.801 -1.4541378885217284
-135.995228585 160.415 -1.9107622004633242
-134.017549147 161.635 -0.7573681151599203
-132.039843616 161.187 -1.2680374341653646
-130.062111992 161.751 -0.7628512950109041
-128.084354276 161.67 -0.8988901711998949
-126.106570465 161.615 -1.0052338722542231
-124.128760561 162.472 -0.19596154338054816
-122.150924562 162.686 -0.02615166562026161
-120.173062468 163.585 0.8321179443922517
-118.195174278 162.702 -0.08822986555375678
-116.217259991 163.228 0.4037284168673807
-114.239319609 163.266 0.41091696865004224
-112.261353129 163.021 0.13826063141610234
-110.283360551 163.284 0.37668491163549334
-108.305341875 163.705 0.7761159806605633
-106.3272971 163.955 1.0074806748056062
-104.349226225 164.704 1.7407064954496718
-102.371129251 165.935 2.958721609136205
-100.393006177 166.936 3.9494548476293403
-98.4148570018 168.509 5.514835708021678
-96.4366817252 171.02 8.020794352825845
-94.4584803468 173.811 10.809261610055131
-92.4802528658 177.161 14.159168973313513
-90.501999282 181.779 18.779448601884184
-88.5237195948 184.509 21.51403332081719
-86.5454138036 187.184 24.195856621018464
-84.5670819079 189.24 26.26085265933736
-82.5887239072 190.025 27.05695625865505
-80.610339801 187.806 24.85110290797266
-78.6319295888 187.589 24.649228762499575
-76.6534932701 185.913 22.99027064374178
-74.6750308443 183.983 21.079166039590945
-72.696542311 182.403 19.51985310440992
-70.7180276695 181.249 18.388270659126192
-68.7394869195 180.071 17.23435819131234
-66.7609200603 178.97 16.159055855283583
-64.7823270915 177.557 14.773304472177728
-62.8037080125 175.246 12.491045530049831
-60.8250628228 172.668 9.943221183956354
-58.846391522 170.669 7.975774256043394
-56.8676941095 169.3 6.639648235639612
-54.8889705847 170.434 7.807787279341824
-52.9102209472 170.514 7.92313621109966
-50.9314451964 171.661 9.106640522310755
-48.9526433319 172.509 9.992246371902127
-46.9738153531 173.016 10.537900586425792
-44.9949612595 173.74 11.301550660141714
-43.0160810505 176.601 14.203144755109975
-41.0371747257 179.091 16.734631701273173
-39.0582422846 180.502 18.1879609965508
-37.0792837265 181.198 18.927082806930116
-35.1002990511 181.857 19.62994796654155
-33.1212882577 180.234 18.051507977764544
-31.142251346 182.645 20.507715011298245
-29.1631883153 183.96 21.868521906268114
-27.1840991651 184.98 22.934882170300682
-25.204983895 186.672 24.673749979614257
-23.2258425043 188.412 26.461080179116806
-21.2466749927 193.965 32.06182828247779
