vel Tant_raw Tant_corr
-181.000470447 222.53 1.562720360666333
-179.023338822 221.709 0.7297893341913095
-177.046181116 221.019 0.027220129576647878
-175.068997329 220.047 -0.9579595720218776
-173.091787459 219.33 -1.6887224599736612
-171.114551506 220.709 -0.3240415941956769
-169.137289471 221.318 0.2701095947937233
-167.160001351 221.705 0.6417573057875074
-165.182687147 223.851 2.7719273669010533
-163.205346858 221.658 0.562645235477703
-161.227980484 221.291 0.17893599806322413
-159.250588024 219.625 -1.5041756296598692
-157.273169477 221.268 0.12133469708672351
-155.295724844 220.389 -0.7755090478537738
-153.318254123 222.13 0.947316738333086
-151.340757314 221.546 0.34483528742853764
-149.363234417 219.478 -1.7419305398859422
-147.385685431 220.933 -0.305958254087642
-145.408110355 221.254 -0.004225736852362161
-143.430509189 223.237 1.9592887589064105
-141.452881933 220.123 -1.174393391021141
-139.475228585 222.508 1.190748817789654
-137.497549147 219.249 -2.0882639815912682
-135.519843616 221.281 -0.07641152758793623
-133.542111992 219.038 -2.339673930087315
-131.564354276 220.137 -1.2610316705078617
-129.586570465 220.366 -1.0524656019004226
-127.608760561 223.492 2.0530430510954147
-125.630924562 223.094 1.6345126921093822
-123.653062468 219.402 -2.0780386469467658
-121.675174278 219.668 -1.8325933059593353
-119.697259991 219.393 -2.128133996651542
-117.719319609 220.216 -1.3256438026013768
-115.741353129 223.736 2.1738938206259775
-113.763360551 223.921 2.338495045512275
-111.785341875 221.668 0.06517567250557477
-109.8072971 221.517 -0.10604887003896124
-107.829226225 221.052 -0.5911635258979118
-105.851129251 222.339 0.6758463889913457
-103.873006177 222.596 0.9129951864408099
-101.894857002 222.338 0.6352968059831028
-99.9166817252 223.029 1.3067648148245326
-97.9384803468 225.653 3.9114124078032546
-95.9602528658 225.56 3.7992524073186473
-93.981999282 226.445 4.665297263301682
-92.0037195948 228.81 7.011559053153917
-90.0254138036 229.864 8.047049481702345
-88.0470819079 231.997 10.161779881150949
-86.0687239072 233.519 11.665761211030599
-84.090339801 234.109 12.238004058149812
-82.1119295888 235.812 13.923518636545424
-80.1334932701 237.484 15.578314787433499
-78.1550308443 235.815 13.892401979159047
-76.176542311 235.792 13.852789307149493
-74.1980276695 236.422 14.466485493861086
-72.2194869195 234.376 12.404498888735532
-70.2409200603 235.17 13.182837468144072
-68.2623270915 233.488 11.485508835344007
-66.2837080125 232.787 10.76952022042525
-64.3050628228 232.952 10.919878480263577
-62.326391522 230.628 8.581590098471167
-60.3476941095 228.513 6.452661185345164
-58.3689705847 227.304 5.2300974778198395
-56.3902209472 226.604 4.516904339418744
-54.4114451964 225.325 3.22508676020243
-52.4326433319 227.881 5.768649356722136
-50.4538153531 228.311 6.186596371967511
-48.4749612595 228.587 6.450931675319509
-46.4960810505 227.988 5.840658762499714
-44.5171747257 230.315 8.156780755522703
-42.5382422846 232.005 9.836300402645065
-40.5592837265 233.133 10.954220078315501
-38.5802990511 235.344 13.155541783128655
-36.6012882577 236.469 14.271267143771723
-34.622251346 239.156 16.949397412978925
-32.6431883153 238.856 16.64093346947837
-30.6640991651 237.408 15.184875817945624
-28.684983895 237.521 15.29022458895355
-26.7058425043 238.078 15.839979538921625
-24.7266749927 240.072 17.827140050069033
-22.7474813595 238.584 16.3327051303624
-20.7682616042 240.66 18.402673413468676
-18.7890157265 244.222 21.959043158705413
-16.8097437256 249.933 27.6648122509894
-14.8304456011 254.458 32.18497820078994
-12.8511213525 265.473 43.195538144077915
-10.8717709793 273.065 50.78348884227657
-8.89239448094 286.959 64.67382668221225
-6.91299185689 296.267 73.97854767606484
-4.93356310664 303.641 81.3496474613186
-2.95410822974 309.056 86.76212130071244
-0.974627225571 311.19 88.89396408219056
1.00487990627 305.834 83.53617031885318
2.98441316639 299.449 77.1497341489067
4.96397255534 288.717 66.41664933561461
6.94355807349 274.339 52.03790926724807
8.92316972153 259.433 37.131506957035924
10.9028074998 250.009 27.70743504311588
12.882471409 240.535 18.23368578848465
14.8621614495 235.106 12.805251080948466
16.8418776219 230.829 8.529122433073837
18.8216199267 228.14 5.841290982137764
20.8013883643 227.22 4.92274749007845
22.7811829355 224.911 2.615482343445933
24.7610036406 225.106 2.8124855533520474
26.74085048 223.558 1.2667467554212237
28.7207234546 224.81 2.5212552097417245
30.7006225645 222.601 0.31499980081426315
32.6805478106 222.694 0.41096903750479896
34.6604991932 221.341 -0.9388489470069885
36.6404767127 222.216 -0.06046639527639286
38.6204803699 221.629 -0.6438959256425676
40.6005101651 222.16 -0.10915053227950011
42.580566099 221.614 -0.6512435852441456
44.560648172 222.396 0.13481116947278338
46.5407563846 221.651 -0.6060003901018831
48.5208907374 220.51 -1.7426927619736148
50.5010512308 223.275 1.0267191797701116
52.4812378655 222.673 0.4292201849107755
