vel Tant_raw Tant_corr
-217.280470447 223.181 1.1808093558830421
-215.303338822 223.079 0.9469095572470678
-213.326181116 226.175 0.0
-211.348997329 221.787 -0.6019983424549196
-209.371787459 222.977 0.4629628323088184
-207.394551506 222.396 -0.2408198189580446
-205.417289471 224.144 1.3866382022152663
-203.440001351 223.758 0.8823213382149504
-201.462687147 223.527 0.5352139758234102
-199.485346858 224.11 1.0043004458472353
-197.507980484 224.176 0.9585650232887133
-195.530588024 222.642 -0.6850080727763839
-193.553169477 224.214 0.7795653208528108
-191.575724844 224.691 1.1512693116006574
-189.598254123 221.118 -2.524912049161429
-187.620757314 222.869 -0.874994765853188
-185.643234417 222.69 -1.1529948988026035
-183.665685431 225.397 1.457071435698424
-181.688110355 222.697 -1.3378119345605626
-179.710509189 222.955 -1.1726612376695584
-177.732881933 220.639 -3.579492757655771
-175.755228585 222.041 -2.2663228345798245
-173.777549147 223.165 -1.22916786427254
-171.799843616 224.702 0.22295570125612585
-169.822111992 224.242 -0.3199686458339954
-167.844354276 223.99 -0.652957469316334
-165.866570465 222.382 -2.3400273891072345
-163.888760561 224.956 0.1568049190931049
-161.910924562 223.911 -0.9634772765690798
-159.933062468 222.238 -2.709890763869538
-157.955174278 222.804 -2.215452386629835
-155.977259991 223.425 -1.6641790446850848
-153.999319609 224.956 -0.20108769378995817
-152.021353129 226.078 0.8548046540969665
-150.043360551 221.649 -3.6385190689151443
-148.065341875 224.165 -1.1850759867636782
-146.0872971 223.526 -1.8848832794700172
-144.109226225 224.463 -1.006958183113312
-142.131129251 226.103 0.5756820102196798
-140.153006177 223.918 -1.664980047692552
-138.174857002 226.167 0.53003823884913
-136.196681725 224.95 -0.7392805905431601
-134.218480347 227.394 1.6540459476990463
-132.240252866 225.752 -0.03699971903731125
-130.261999282 225.271 -0.5654352194235912
-128.283719595 225.434 -0.44827823825062296
-126.305413804 229.309 3.382453483542065
-124.327081908 230.373 4.403742148884021
-122.348723907 230.605 4.594569904587104
-120.370339801 226.017 -0.03308115868546224
-118.391929589 230.569 4.480770993554643
-116.41349327 227.849 1.7241083396356771
-114.435030844 230.927 4.766912801735714
-112.456542311 229.387 3.1931662458550534
-110.478027669 227.571 1.3448504817768878
-108.499486919 226.091 -0.16605273685641464
-106.52092006 228.048 1.76143828736582
-104.542327091 227.592 1.2773051956500865
-102.563708012 229.377 3.03552957300451
-100.585062823 229.319 2.9520929482155225
-98.606391522 227.141 0.7499767938170692
-96.6276941095 226.76 0.34616252614009113
-94.6489705847 228.717 2.281631505256996
-92.6702209472 229.475 3.0193650349953316
-90.6914451964 229.485 3.0103443629237177
-88.7126433319 229.6 3.10755068034851
-86.7338153531 231.403 4.893965122302717
-84.7549612595 233.836 7.31156876754153
-82.7760810505 236.269 9.73034263853313
-80.7971747257 239.039 12.487267701453817
-78.8182422846 240.316 13.752324866178242
-76.8392837265 243.729 17.154494986271743
-74.8602990511 246.544 19.95975885898656
-72.8812882577 246.213 19.620097225249964
-70.902251346 251.957 25.35649076966098
-68.9231883153 250.923 24.31592012047946
-66.9440991651 255.266 28.653365849621338
-64.964983895 258.865 32.247808472650604
-62.9858425043 261.733 35.11222844877108
-61.0066749927 263.925 37.301606180820556
-59.0274813595 263.477 36.851922015262005
-57.0482616042 266.233 39.60715624217744
-55.0690157265 269.572 42.94628909525977
-53.0897437256 267.564 40.93930075180583
-51.1104456011 262.389 35.76617133270892
-49.1311213525 257.142 30.521880902451556
-47.1517709793 251.139 24.52240946909805
-45.1723944809 245.641 19.028736984287235
-43.1929918569 243.603 16.995843343224863
-41.2135631066 241.984 15.38270838467713
-39.2341082297 240.411 13.816311890961515
-37.2546272256 241.837 15.24963358794156
-35.2751200937 245.741 19.161653145018647
-33.2955868336 247.841 21.27035017512364
-31.3160274447 250.484 23.92270423471146
-29.3364419265 255.569 29.01769482375218
-27.3568302785 260.372 33.8313013857244
-25.3771925002 262.812 36.28250330760753
-23.397528591 268.026 41.50827991987529
-21.4178385505 271.136 44.63061049648661
-19.4381223781 272.975 46.482474254880486
-17.4583800733 273.773 47.293850355966924
-15.4786116357 275.456 48.99071790411952
-13.4988170645 272.41 45.95905594717158
-11.5189963594 266.428 39.99184347640235
-9.53914951995 253.275 26.854059426534405
-7.5592765454 243.318 16.912682675727382
-5.57937743545 235.78 9.390692045564862
-3.59945218938 231.986 5.613066301054005
-1.61950080685 230.255 3.89878415061159
0.360476712733 228.156 1.8168242460618558
2.34048036992 227.71 1.3881651826267785
4.32051016514 227.255 0.950785498917952
6.30056609902 226.886 0.5996636769320673
8.28064817204 225.595 -0.6732218579595894
10.2607563846 224.684 -1.5658927370178617
12.2408907374 226.663 0.43162935186049367
14.2210512308 226.907 0.6943226641292597
16.2012378655 225.415 -0.778834601407965
18.1814506418 224.124 -2.050864302612183
20.1616895603 225.446 -0.7097883540099019
22.1419546217 226.512 0.37537127319782826
24.1222458262 225.614 -0.5034074488777946
26.1025631746 225.133 -0.9651466048102009
28.0829066673 227.637 1.5581316641256535
30.0632763047 225.27 -0.7895948400502277
32.0436720875 227.108 1.067651627972623
34.0240940161 225.44 -0.5811512432181019
36.0045420911 226.351 0.3489741782401268
37.985016313 225.275 -0.7079945325257313
39.9655166823 226.267 0.30292014286933977
41.9460431995 224.111 -1.8343043339389453
43.9265958652 223.123 -2.8036905580705422
45.9071746798 223.94 -1.9682611814114068
47.8877796439 225.1 -0.7900389126170353
49.8684107579 224.395 -1.4770465171235116
51.8490680226 224.735 -1.119306817149635
53.8297514381 224.446 -1.3908426917138854
55.8104610053 223.937 -1.882677076628653
57.7911967246 226.527 0.7241670354808605
59.7719585963 225.331 -0.4553334048268596
61.7527466213 228.078 2.307798496188468
63.7335607998 229.844 0.0
65.7144011325 229.066 0.0
67.6952676198 226.407 0.6827563320303796
69.6761602623 228.506 0.0
71.6570790605 224.511 -1.1848695766645108
73.6380240148 224.267 -1.4154320422655928
75.618995126 224.175 -1.4945255020508057
77.5999923943 225.175 -0.4821735171356636
79.5810158204 228.017 0.0
81.5620654049 225.686 0.051772257891030904
83.5431411481 226.086 0.46231864129768496
85.5242430506 223.464 -2.1497843440173767
87.505371113 225.857 0.25243945631120823
89.4865253356 225.446 -0.1500338602790805
91.4677057192 223.951 -1.6372282532824727
93.4489122641 224.432 -1.1491677391365158
95.4301449711 227.301 0.0
97.4114038403 226.108 0.5386216601071112
99.3926888726 225.885 0.3203022275581304
101.374000068 225.858 0.2971410668504575
103.355337428 227.579 0.0
105.336700952 225.909 0.353196298960313
107.318090641 224.15 -1.4046360816955996
109.299506496 225.211 -0.34340773746936293
111.280948517 226.085 0.529856802397461
113.262416704 225.687 0.1301329516491876
115.243911059 226.098 0.538396067005209
117.225431581 226.821 1.2576214481581758
119.206978271 224.446 -1.1222156622387445
121.18855113 224.596 -0.9781400785784342
123.170150158 225.908 0.3268233276967578
125.151775355 226.017 0.42764962808604423
127.133426723 225.76 0.1613138370126137
129.115104262 227.204 0.0
131.096807972 227.789 0.0
133.078537853 225.68 0.04608320317058201
135.060293907 226.652 1.0038480489528752
137.042076134 225.914 0.25032501915586636
139.023884534 224.401 -1.2795112143449217
141.005719108 227.724 0.0
142.987579856 225.589 -0.12922489058118458
144.969466779 226.046 0.3068467248022557
146.951379877 225.7 -0.06149674729368826
148.933319151 226.212 0.4267190793284499
150.915284602 225.872 0.06146853370876215
152.89727623 227.789 0.0
154.879294035 227.948 0.0
156.861338018 226.74 0.844661096419884
158.84340818 228.353 0.0
160.82550452 224.097 -1.8626822631162554
162.80762704 225.54 -0.4542733338307414
164.789775741 226.916 0.8854879255374613
166.771950622 225.652 -0.41642461345284687
168.754151683 224.885 -1.2230371364808548
170.736378927 225.37 -0.7793758865179825
172.718632352 226.697 0.5045328363288206
174.700911961 224.32 -1.9173373253987052
176.683217752 225.859 -0.42501278630041384
178.665549727 225.37 -0.962520018326444
180.647907886 223.8 -2.5828855506479727
182.63029223 227.295 0.8598640302640774
184.61270276 226.34 -0.14929791934500258
186.595139475 225.292 -1.2533981004640395
188.577602376 227.381 0.7775367285675827
190.560091464 227.007 0.3434797521042299
192.54260674 225.996 -0.7295959028136565
194.525148203 227.556 0.7662828335988365
196.507715854 226.143 -0.7129110262616507
198.490309695 224.961 -1.9632045273695837
200.472929725 225.225 -1.7696247719392773
202.455575945 228.738 0.0
204.438248355 229.116 0.0
