vel Tant_raw Tant_corr
-166.140470447 143.639 0.16476778515698243
-164.163338822 143.917 0.4679542501354206
-162.186181116 143.432 0.006410352910194206
-160.208997329 142.542 -0.8618208613046079
-158.231787459 143.088 -0.2956967595921185
-156.254551506 142.843 -0.5221751214310473
-154.277289471 143.228 -0.12021413873435449
-152.300001351 144.092 0.7592275841371929
-150.322687147 144.221 0.9021910302517426
-148.345346858 143.42 0.11371677010231451
-146.367980484 143.141 -0.15415503847077616
-144.390588024 143.173 -0.11238465032204203
-142.413169477 143.184 -0.09293273306275296
-140.435724844 143.513 0.24323963287787365
-138.458254123 143.357 0.09317095421778276
-136.480757314 143.298 0.038899324747603714
-134.503234417 142.924 -0.3315375747148721
-132.525685431 143.706 0.45289752362140234
-130.548110355 142.681 -0.5707585255369736
-128.570509189 143.335 0.08353071937736445
-126.592881933 143.06 -0.19219871325989857
-124.615228585 143.563 0.3090887916780787
-122.637549147 143.34 0.08342843601940331
-120.659843616 143.16 -0.1001449917704349
-118.682111992 143.61 0.34540288336526714
-116.704354276 143.069 -0.2008939769793585
-114.726570465 143.254 -0.022002024742050708
-112.748760561 143.594 0.31111187457798906
-110.770924562 143.153 -0.1375195581615003
-108.793062468 143.461 0.1621359842184802
-106.815174278 143.514 0.2061103951527059
-104.837259991 143.32 0.002435154280419738
-102.859319609 143.022 -0.30585867259327415
-100.881353129 142.924 -0.41474043359298207
-98.9033605507 143.266 -0.08417989078952814
-96.9253418746 143.453 0.09085277973764505
-94.9472970997 143.154 -0.22061301216837137
-92.9692262255 143.395 0.007451729214778879
-90.9911292514 142.935 -0.46592441456962774
-89.0130061771 143.198 -0.21671327620936154
-87.0348570018 143.284 -0.14488710268369687
-85.0566817252 143.159 -0.2844185553111913
-83.0784803468 143.079 -0.37928070980933626
-81.1002528658 143.184 -0.2894470563504683
-79.121999282 144.01 0.5211085003904259
-77.1437195948 143.705 0.20041164117324684
-75.1654138036 143.621 0.10048763214086875
-73.1870819079 143.658 0.1213613247651324
-71.2087239072 144.139 0.5860571557913943
-69.230339801 143.268 -0.3014008528166414
-67.2519295888 143.765 0.1790109060684415
-65.2734932701 143.778 0.1753156246829235
-63.2950308443 144.126 0.5065360803160104
-61.316542311 144.016 0.3796946352576924
-59.3380276695 144.376 0.7228132367395972
-57.3594869195 143.771 0.10091341688593047
-55.3809200603 144.198 0.5110162926519308
-53.4023270915 144.517 0.8131425657747968
-51.4237080125 144.996 1.275312522714671
-49.4450628228 145.018 1.2805460346020539
-47.466391522 145.427 1.6728625571832083
-45.4876941095 145.664 1.8932811307623467
-43.5089705847 146.336 2.5488203801487543
-41.5302209472 147.103 3.2994985146031297
-39.5514451964 147.867 4.047333327779683
-37.5726433319 149.254 5.418342197674349
-35.5938153531 150.834 6.982542086566468
-33.6149612595 152.04 8.172949540966385
-31.6360810505 153.646 9.7635806915589
-29.6571747257 154.723 10.825451253150703
-27.6782422846 156.802 12.88957652461275
-25.6992837265 157.767 13.839971388825063
-23.7202990511 158.78 14.838650312625845
-21.7412882577 159.429 15.473627346750646
-19.762251346 159.975 16.0059161257833
-17.7831883153 161.256 17.27352986809521
-15.8040991651 164.282 20.286481375794438
-13.824983895 168.387 24.37878303467008
-11.8458425043 175.972 31.951446814134584
-9.86667499266 188.049 44.01648426717304
-7.88748135949 191.663 47.61890653028422
-5.90826160422 187.038 42.98272432342728
-3.92901572646 186.534 42.46794794996757
-1.94974372559 189.896 45.81958729661949
0.0295543989318 192.394 48.30765183339287
2.00887864748 191.492 47.39615061353845
3.98822902071 189.326 45.22109227349071
5.96760551906 186.223 42.109485032815
7.94700814311 182.423 38.30133669415102
9.92643689336 177.714 33.58465464315856
11.9058917703 174.497 30.360445848462263
13.8853727744 171.173 27.02971686159634
15.8648799063 167.778 23.62847381694914
17.8444131664 163.767 19.611722431709154
19.8239725553 160.116 15.955468005808683
21.8035580735 157.987 13.821715421869527
23.7831697215 156.028 11.858469145147694
25.7628074998 154.272 10.098733223478177
27.742471409 152.5 8.32351128721973
29.7221614495 151.42 7.24080654920013
31.7018776219 151.28 7.09862180466061
33.6816199267 149.724 5.540959431200918
35.6613883643 149.112 4.927821388724368
37.6411829355 148.308 4.123209219382176
39.6210036406 147.722 3.5371240475188586
41.60085048 146.842 2.657566579616713
43.5807234546 146.438 2.2545371042408533
45.5606225645 145.699 1.517035491983762
47.5405478106 146.022 1.842061195410679
49.5204991932 145.078 0.9006132490036691
51.5004767127 145.015 0.8406902691066875
53.4804803699 144.753 0.5822904538712521
55.4605101651 144.678 0.5114115831995889
57.440566099 144.687 0.5250510186911299
59.420648172 144.691 0.5342057035858829
61.4007563846 144.246 0.09487216271006105
63.3808907374 143.844 -0.3009534975791155
65.3610512308 144.159 0.020724410550542416
67.3412378655 143.934 -0.197098843647467
69.3214506418 143.626 -0.49742840955599377
71.3016895603 143.805 -0.31026985524704287
73.2819546217 144.224 0.11737083246254087
75.2622458262 144.144 0.0464872479530527
77.2425631746 144.332 0.24407256675149824
79.2229066673 143.886 -0.19188045452810343
81.2032763047 143.846 -0.22137947823833315
83.1836720875 144.479 0.42256741424810684
85.1640940161 143.671 -0.3740482775201599
87.1445420911 143.501 -0.5322354731256667
89.125016313 144.3 0.2789964886609084
91.1055166823 144.133 0.12463784982591619
93.0860431995 143.514 -0.48132156694251194
95.0665958652 143.07 -0.9118923583090179
97.0471746798 144.497 0.5289144596515598
99.0277796439 144.489 0.5350874514015516
101.008410758 143.613 -0.32638523811684195
102.989068023 143.53 -0.3945158835331597
104.969751438 143.683 -0.22631717912085492
106.950461005 144.465 0.5711977611832424
108.931196725 144.143 0.26501540369432064
110.911958596 144.234 0.3721217949070308
112.892746621 145.131 0.0
114.8735608 150.391 0.0
116.854401132 147.207 0.0
118.83526762 172.229 0.0
120.816160262 145.551 0.0
122.79707906 144.52 0.0
124.778024015 143.679 -0.06330877807374691
126.758995126 143.341 -0.3834451164156292
128.739992394 143.581 -0.12543718737501308
130.72101582 145.505 0.0
132.702065405 144.009 0.3389384344961286
134.683141148 143.53 -0.12173144293936389
136.664243051 143.242 -0.39133219360772387
138.645371113 143.641 0.026116346030278237
140.626525336 144.116 0.5195939189147509
142.607705719 143.854 0.2760798472751844
144.588912264 144.307 0.7475530326310604
146.570144971 143.585 0.04399195568981895
148.55140384 143.225 -0.2976253236900561
150.532688873 142.888 -0.6163211665359256
152.514000068 143.048 -0.43811835487190365
