vel Tant_raw Tant_corr
-212.760470447 142.467 0.034224399041789866
-210.783338822 142.356 -0.0987365104512321
-208.806181116 143.459 0.9801440020210066
-206.828997329 142.641 0.13590779709372214
-204.851787459 142.751 0.21759638542934567
-202.874551506 142.678 0.1142509277238446
-200.897289471 143.096 0.4999122346541185
-198.920001351 143.343 0.7126207667469941
-196.942687147 143.194 0.5274166344639468
-194.965346858 142.903 0.19833959805521317
-192.987980484 143.188 0.4434290675661714
-191.010588024 142.612 -0.17427589724769632
-189.033169477 142.63 -0.19973658694931373
-187.055724844 142.145 -0.7299146424197431
-185.078254123 142.36 -0.5617720550167462
-183.100757314 142.517 -0.45327116650906873
-181.123234417 142.057 -0.9633746691660292
-179.145685431 143.01 -0.06204560583066154
-177.168110355 142.807 -0.3182473699428101
-175.190509189 143.092 -0.08794370555727937
-173.212881933 142.667 -0.5690987074156055
-171.235228585 142.879 -0.4146768210512164
-169.257549147 143.067 -0.2856428426621562
-167.279843616 142.746 -0.6669619194212828
-165.302111992 143.35 -0.12459954928766592
-163.324354276 142.855 -0.6825215811071814
-161.346570465 143.84 0.23830578518013112
-159.368760561 144.404 0.7369159987813987
-157.390924562 143.591 -0.14265784228578582
-155.413062468 143.393 -0.4083829910447321
-153.435174278 143.307 -0.5632270517055531
-151.457259991 143.709 -0.2311579796787555
-149.479319609 143.909 -0.10214408151338716
-147.501353129 144.374 0.2908459847710958
-145.523360551 144.48 0.3238432099225861
-143.545341875 143.715 -0.5151217666953016
-141.5672971 143.548 -0.7570186571881266
-139.589226225 144.818 0.4371824748591848
-137.611129251 144.38 -0.0774887855862687
-135.633006177 144.469 -0.06600320520502123
-133.654857002 144.692 0.07866809770328587
-131.676681725 145.198 0.505553653173564
-129.698480347 144.416 -0.35631836039001996
-127.720252866 144.903 0.05007988353830228
-125.741999282 144.994 0.059775859760463845
-123.763719595 145.876 0.8597966912280697
-121.785413804 145.827 0.7281691489540947
-119.807081908 145.714 0.5319196520067919
-117.828723907 146.413 1.1470742675057295
-115.850339801 147.012 1.6616587105338283
-113.871929589 147.027 1.5916983440477281
-111.89349327 148.206 2.685218178873072
-109.915030844 148.427 2.820242873701602
-107.936542311 149.228 3.534796735002004
-105.958027669 150.617 4.83690371688499
-103.979486919 149.929 4.0615874212760446
-102.00092006 151.228 5.272871097649471
-100.022327091 151.786 5.742777643069047
-98.0437080125 153.056 6.924329602208843
-96.0650628228 153.331 7.110549167141215
-94.086391522 154.437 8.127458177469094
-92.1076941095 154.352 7.95307812016739
-90.1289705847 155.865 9.37643012956778
-88.1502209472 157.269 10.69053498732103
-86.1714451964 158.209 11.540413122332325
-84.1926433319 159.365 12.606084610732722
-82.2138153531 159.599 12.749569175814173
-80.2349612595 160.022 13.081886187996787
-78.2560810505 159.234 12.203054664772736
-76.2771747257 158.837 11.715093270673464
-74.2982422846 160.807 13.59402031720927
-72.3192837265 163.195 15.890853762817954
-70.3402990511 165.667 18.271611212845755
-68.3612882577 167.626 20.139309919463813
-66.382251346 170.832 23.253966781658335
-64.4031883153 174.451 26.78159834514699
-62.4240991651 176.272 28.5112208023599
-60.444983895 178.291 30.4388499923883
